acreage,address,category,crops,date,email,name,phone,processed_products,profile,short_description,website
117 Acres,"1665 Eastside Road
Jacksonville, OR 97530, United States",Vineyard | Farm | Winery | ,"Fruit,Apples,Cherries,Grapes For Wine,Pears,Persimmon,Plums,Vegetables,Asparagus Green,Nuts,Hazelnuts",20151023,,Cowhorn Vineyard & Garden,1,"Wine,Wine Red,Wine Rosé,Wine White","Hidden away in a remote river valley historically known more for gold than grapes is COWHORN, a boutique, estate vineyard and winery whose first releases were the toast of The James Beard Foundation and Oregon’s emerging eco-culinary scene.
Recently in 2013, the 2009 COWHORN Syrah was awarded Best of the West in Sunset Magazine, the 2009 COWHORN Reserve Syrah was named 50 Best Wines by Portland Monthly Magazine, the 2012 COWHORN Spiral 36 was listed on the 2013 Top 100 Wines by Jon Bonné and the San Francisco Chronicle, and the 2012 COWHORN Marsanne Roussanne was listed in David Schildknecht's Guide to the Best of 2013 on Robert Parker's Wine Advocate website. In addition, Robert Parker’s The Wine Advocate rated five COWHORN wines 92+ points in 2013, after rating seven earlier vintages 91+ points in 2012. In 2011, the 2009 COWHORN Viognier was added to Paul Gregutt’s Top 100 Pacific Northwest Wines list.
Sharing qualities comparable to the Chateauneuf-du-Pape region of France’s southern Rhone Valley, COWHORN sits alongside Southern Oregon’s pristine Applegate River. The farm is fringed by frontier forests and supported by soils that are perfectly suited for various classic, Rhone grape varieties, including Syrah, Grenache, Viognier, Marsanne and Roussanne. As a result, COWHORN produces balanced, Rhone-style, fine wines with low alcohol and high aroma that express the signature subtleties of the farm’s unique soils.
Guided by horticulturist Alan York and consultant winemaker Ken Bernards, COWHORN planted its first eleven acres of vineyard in 2005. Using state-of-the-art technology, winemakers Bill and Barbara Steele gently and patiently nudge native yeast through the fermentation process on a mission to make fine wine with few inputs, going from grapes to glass as purely as possible.
COWHORN benefits from being surrounded by biodiversity that serves as a natural immune system for the vineyard and gardens. When combined with organic and Biodynamic farming methods, this symbiotic relationship not only minimizes the need for petrochemical pesticides but supports the vitality of the surrounding ecosystem. Over half of the estate is reserved for habitat, forest and riparian areas. Currently, the vineyard is 25 acres and lavender and produce account for 4 acres combined.
Because Biodynamic farming is deeply rooted in the practice of perennial polyculture, crops are selected that pair well in the field and on the table. COWHORN supplies 6,000-7,000 pounds of fresh asparagus to local markets and grocery stores. Depending on volumes and season, at certain times wine club members and tasting room visitors can purchase asparagus or orchard fruit. Other areas of development include our 1,000 lavender plants.
Come visit, taste, experience!
Cropped: 30 Acres
Total Acreage: 117 Acres","
           “Wine is a living thing, and when a vintage is in its first few weeks the whole winery is like a kindergarten: you just keep moving from child to child – or tank to tank – and make sure each one is happy and on the right path.”
           ",www.cowhornwine.com
,"55 Wenzels Lane
Hudson, NY 12534, United States",,"Fruit,Strawberries,Vegetables,Beetroot,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Cucumbers,Eggplant,Garlic,Kale,Lettuce,Leek,Melons,Onions,Pepper Capsicum,Potatoes,Radishes Red,Shallots,Spinach,Sweet Potatoes,Tomatoes,Turnips,Herbs And Spices,Basil,Coriander,Dill,Nettle,Oregano,Parsley,Sorrel,Thyme,Legumes,Beans,Peas Green,Fodder And Grassland,Fodder Crops,Rough Grazing,Oil Crops,Sunflowers,Other Crops,Other Annual Crops",20151023,,Cowberry Crossing,5,,"Cowberry Crossing Farm is located on fifty acres in Claverack, New York.  The farmers, Richard & Cecile Harrison are committed to local, humane, sustainable farming and the farm is certified both organic and biodynamic.  The small traditional family-run farm has a large and varied vegetable garden providing especially high quality produce for our customers.  Animals found on the farm include chickens, ducks, turkeys, rabbits, sheep, pigs, cows, horses, cats, bees, and Glory, the border collie.  All are fed organic feed and spend their days roaming freely on the farm.
The many facets of Biodynamics can be experienced directly at Cowberry Crossing farm.  Biodynamic agriculture was the first ecological farming system to arise in response to commercial fertilizers and specialized agriculture.  It is the highest standard of organic and sustainable farming yielding maximum soil health.  Optimum soil health fosters a healthier environment and more nutritious plants which of course lead to healthier animals and human beings.
Animals found on the farm include chickens, ducks, turkeys, rabbits, sheep, pigs, cows, horses, cats, bees, and our latest addition, Glory – the border collie.  The ideal Biodynamic farm should strive to be home to five primary farm animals: cows, sheep, chickens, horses, and pigs.  Each of these amazing creatures make unique and vital contributions to the balance and health of the farm in terms of the way that they eat from the land, the nourishing of the soil from their manure, pest control, weed control, aeration of soil, and much more.
The bees also make so many special contributions to their surroundings.  Perhaps one of the more noticeable benefits of keeping bees on the farm is the increase in produce yields due to their pollinating as they gather nectar and pollen.
Humane treatment dictates that the animals are able to live as closely as possible to their natural rhythms and instincts in a stress-free environment with the highest quality food we can offer.  All the animals are pastured or free-roaming.  Even the rabbits (this is not easy!).  We wouldn’t dream of maiming an animal for convenience of production.  Our cows have horns and tails, our sheep and pigs have tails, our chickens have beaks.  All of the animals enjoy the calming influence associated with the companionship of their own kind.  This is particularly important to raising stress-free herd animals.   The young of all farm animal remain with their mothers until natural weaning occurs, starting their lives stress-free and with the best nutrition that nature intended.  Sometimes different farm animals will intermix!  The cats have been seen playing with the horses and snuggling with the lambs.  Chicks and rabbits are also quite comfortable together.
In an effort to learn more about and care for the wildlife of the farm, we have encouraged the on-farm research of local biologists, Conrad and Claudia Vispo (founders of the Farmscape Ecology Program).  To our surprise and delight, they have found two quite rare creatures living on the farm:  the bronze copper butterfly and the leopard frog.  Both of these species depend on the wet meadows habitat of the farm which, at first glance, many people consider somewhat useless.
Other wildlife spotted on the farm include deer, raccoon, coyote, the American bald eagle,  opossum, squirrel, rabbit, fox, duck, turkey, red-tail hawks, owls, bats, fire flies, pheasant, bobcat, and countless varieties of  bird.  It is important to leave portions of farmland wild as homes for these creatures.  While some wild animals can be an occasional nuisance to farming, they also can greatly contribute to a healthy farm organism.  For example, wild animals keep the farm’s rodent and insect pest populations in check.","
           “Farmers Richard and Cecile Harrison are committed to local, humane, and environmentally sound practices.  Through farming with organic and Biodynamic farming practices they feel that they can contribute to the earth’s well-being as well as to the health of their customers.  Their children, Grace and Reese, are a great help with farm chores and at farmers markets.  They enjoy having their own small plots in the garden, and their own animals to care for.  ”
           
         ",www. cowberrycrossingfarm.com
49 acres Acres,"35 East 8500 South
Victor, ID 83455, United States",Farm | ,"Vegetables,Beetroot,Broccoli,Carrots,Cauliflower,Chicory Root,Cucumbers,Eggplant,Garlic,Kale,Kohlrabi,Lettuce,Leek,Melons,Onions,Parsnips,Pepper Capsicum,Potatoes,Radishes Red,Spinach,Tomatoes,Turnips,Herbs And Spices,Basil,Coriander,Dill,Mint,Oregano,Sage,Sorrel,Thyme,Legumes,Beans,Peas Green,Fodder And Grassland,Fodder Crops,Grassland,Seeds And Seedlings,Seedlings,Oil Crops,Sunflowers,Other Crops,Flowers,Other Annual Crops",20151023,,Cosmic Apple Gardens,3,,"Located in Victor Idaho at 6,300 feet in the heart of the Teton Valley, CAG is a 30-acre farm with over 10 acres of organic garden vegetables and grazing farm animals. The farm has been growing food for people in Teton County, including folks in Jackson Wyoming, since 1996.  The CSA has 200 members, and supplies vegetables, herbs, and flowers.
The CSA offers sixteen weekly deliveries of vegetables, herbs, and flowers.  Add on’s include cheese, bread, beef and pork.  CSA members also receive 20% off at the Teton Valley Market in Driggs and the People’s Market and Jackson Farmers’ Market in Jackson .
Cropped: 12 acre garden, 18 pasture, 19 Hay Acres
Total Acreage: 49 acres Acres","
           “So long as one feeds on food from unhealthy soil, the spirit will lack the stamina to free itself from the prison of the body.”
           ",www.cosmicapple.com/
,"20121 SW Leonardo Lane
Beaverton, OR 97007, United States",Biodynamic | Vineyard | Winery | ,"Fruit,Grapes For Wine",20151015,,Cooper Mountain Vineyards,2,"Wine,Wine Red,Wine Rosé,Wine White","Our philosophy at Cooper Mountain is simple.
To craft authentic wines with minimalistic intervention while respecting the soils they originate from.
In 1978 Cooper Mountain Vineyards began a quest that has brought us to more than 100 acres of pinot noir, pinot gris and chardonnay in the Northern Willlamette Valley. We invite you to be apart of that story.","
           “Wine is memory of land. ”
           
         ",coopermountainwine.com
233 Acres,"317 Prospect St.
Montrose, PA 18801, United States",Organic Beverages | Biodynamic | Farm | Farm and On-Farm Processor of Fruits and Herbs | Medicinal Herb Garden and Apothecary | Agriculture Education | ,"Fruit,Blackberries,Blueberries,Cherries,Currants Black,Elderberries,Gooseberries,Grapes,Kiwifruit Golden,Lingon Berries,Mulberries,Paw Paw,Plums,Raspberries,Vegetables,Asparagus,Beetroot,Cabbage,Cucumbers,Florence Fennel,Garlic,Horseradish,Kohlrabi,Leek,Onions,Okra,Parsnips,Pepper Capsicum,Pumpkin,Radishes Red,Rhubarb,Shallots,Tomatoes,Turnips,Herbs And Spices,Basil,Calendula,Chives,Coriander,Cress,Dill,Ginger,Herbs,Lavender,Lemongrass,Lemon Herb,Medicinal Herbs,Mint,Nettle,Oregano,Parsley,Rosemary,Sage,Tarragon,Thyme,Wild Garlic,Nuts,Hazelnuts,Legumes,Beans,Clover Red,Peas,Grains,Buckwheat,Oats,Quinoa,Rye,Sweet Corn,Wheat Winter,Fodder And Grassland,Fodder Crops,Oil Crops,Flax,Other Crops,Flowers,Hops,Other Annual Crops,Other Permanent Crops",20151024,,Carlton Farms,3,"Cereals And Grains And Seeds,Buckwheat,Linseed,Quinoa,Rye,Wheat,Herbs And Spices And Salt,Herb Salt,Wool","Carlton Farms is a diversified certified organic/Biodynamic operation located in the Endless Mountains region of northeast Pennsylvania.  Primary meat products include chicken, lamb, and yak.  Crops include tulsi, lemon balm, medicinal and culinary herbs, seasonal vegetables, fruits, berries, grains, and nuts.   Carlton Farms has been in the same family since it was founded in the late 1800's.  Our goal is not only to produce the healthiest possible foods but to educate our customers and the community on the advantages of our farming practices.  We also join with like minded farmers in marketing and distributing our products to CSAs and co-ops.  In recent years we have worked to develop value-added products, primarily finishing salts that we mix with herbs and flowers grown on the farm and a vinegar-based product called Fire Tonic with health and culinary applications.
Cropped: 127 Acres
Total Acreage: 233 Acres","
           “Let the beauty we love be what we do. There are hundreds of ways to kneel and kiss the ground.”
           ",www.carltonfarms.net
,"170 Lyle-Snowden Rd.
Lyle, WA 98635",,"Fruit,Grapes For Wine",20151023,,Domaine Pouillon,1,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"760 E. Santa Maria Street
Santa Paula, CA 93060, United States",Organic Food Processor and Vendor | ,,20151023,,Cafe Altura,7,"Coffee And Instant Beverages,Roasted Coffee Ground,Roasted Coffee Whole","Cafe Altura Organic Coffee, founded in 1980, is a family run business focusing on Organic, Fair trade and Biodynamic Coffees.  Cafe Altura's history is tied to the first Biodynamic coffee farm in Chiapas, Mexico called La Finca Irlanda.  After visiting this finca in the seventies, Chris Shepherd founded Cafe Altura in the US and chose to focus solely on Coffee after falling in love with the farm and the family that runs it to this day - the Peters Family.
Since that time, Cafe Altura has broadened its range of products to include a full line of Organic, Fair Trade and Biodynamic coffees.
Cafe Altura's roasting operation is located in Santa Paula, CA.  All coffees are roasted by hand in small batches in a 25 kilo Probat roaster.","
           “Cafe Altura's Biodynamic French Roast is a very good coffee. Upon opening it you are met with an intense aroma of dark roasted coffee. The beans are uniform in size and properly prepared into a french roast; dark, oily, but not burnt. Using a french press, I enjoyed a cup and was pleased with the aroma and flavor which was strong, tangy, a hint of sweetness and not bitter.”
           ",www.cafealtura.com
34 Acres,"17201 NW 40th Street
Raymond, NE 68428, United States",Farm | Nursery | ,"Fruit,Apples,Pears,Plums,Raspberries,Strawberries,Vegetables,Beetroot,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Chinese Cabbage,Courgette,Cucumbers,Eggplant,Garlic,Kale,Kohlrabi,Lettuce,Leek,Melons,Onions,Okra,Parsnips,Pepper Capsicum,Potatoes,Pumpkin,Radishes Red,Rhubarb,Spinach,Spring Onions,Sweet Potatoes,Tomatoes,Turnips,Watermelons,Herbs And Spices,Basil,Chervil,Chives,Coriander,Dill,Echinacea,Fennel Spice,Herbs,Lavender,Lemongrass,Lovage,Marjoram,Oregano,Parsley,Rosemary,Sage,Savory,Spices,Sorrel,Tarragon,Thyme,Legumes,Beans,Peas Green,Fodder And Grassland,Fodder Crops,Rough Grazing,Seeds And Seedlings,Seedlings,Seeds,Vegetable Seeds,Other Crops,Aloe Vera,Other Annual Crops,Other Permanent Crops",20150801,commongoodfarm.com,Common Good Farm,1,,"Common Good Farm is a mom & pop family farm...small, sustainable, certified organic & Biodynamic...growing good food since Autumn of 1996 for southeast Nebraska.  We are just 15 miles northwest of Lincoln, Nebraska -- near Raymond. We’re committed to sustaining a family farm to provide delicious, healthful food for our community & neighbors...to tend the soil, grow the food & love the land.
We grow over 45 different kinds of produce -- 4 acres of veggies & herbs. We also have certified organic & Biodynamic veggie & herb plants in the springtime at our plant sale, as well as raise pastured pork, grass-fed beef & a pasture-based laying flock for gorgeous organic eggs.
The heartbeat of our farm is our CSA, offering seasonal CSA shares with an option for a 12-week and 15-week Summer CSA & a separate Fall Harvest CSA. We're at Old Cheney Farmer’s Market in Lincoln; find us there from opening day through July and then again for October.
Cropped: 4+ Acres
Total Acreage: 34 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"9993 Jones Avenue
Durham, CA 95938",,"Grains,Rice",20151023,,Ditzler Ranch Organics,9,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
20 Acres,"1791 Olivet Road
Santa Rosa, CA 95401, United States",Vineyard | Winery | ,"Fruit,Grapes For Wine,Fodder And Grassland,Grassland",20151023,,DeLoach Vineyards,1,,"A pioneering producer and winegrower of Pinot Noir, Chardonnay and Zinfandel in Sonoma’s Russian River Valley, DeLoach Vineyards has been experimenting with and perfecting the best combinations of soil, rootstock and clones for over three decades. Recipient of numerous awards, among them, a 12-time Wine & Spirits Magazine ""WInery of the Year"".
Cropped: 17 Acres
Total Acreage: 20 Acres","
           “At DeLoach Vineyards, we consider ourselves stewards of the land, with a profound responsibility to pass along a clean environment and revitalized, healthy soil to future generations. ”
           ",www.deloachvineyards.com
90 Acres,"1195 Westside Road
Healdsburg, CA 95448, United States",Farm | Winery | ,"Fruit,Apples,Blackberries,Cherries,Figs,Grapes For Wine,Lemons,Olives,Oranges,Peaches,Pears,Plums,Pomegranates,Quinces,Raspberries,Satsumas,Vegetables,Melons",20151023,davero.com,"DaVero Sonoma, Inc.",1,,"A true multi-crop farm located in the heart of the Dry Creek Valley in Sonoma wine country, we believe that working in concert with Nature yields the best results.
Recognizing that we live in one of the seven Mediterranean climates in the world, we have focused on Italian grape and olive varietals -- and the results speak for themselves.
Come taste and enjoy our wines, olive oils, jams, produce, and more from our certified Biodynamic® farm. We're open daily from 11-5.  Or visit us online at www.davero.com!
Cropped: approximately 50 Acres
Total Acreage: 90 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"85 Sheehy Court
Napa, CA 94558, United States",,,20151023,www.dallaterra.com,Dalla Terra,8,"Wine,Wine Red,Wine White",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
150 Acres,"5341 Old River Road
Ukiah, CA 95482, United States",Farm | ,"Fruit,Grapes For Wine",20151126,,Dark Horse Vineyard,5,,"Biodynamic farm, vineyard and garden.  WE grow grapes and olives.  We also raise sheep and cows.
Cropped: 68  Acres
Total Acreage: 150 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"19831 Nordhoff Place #116
Chatsworth, CA 91311, United States",Cosmetic | Essential Oils/ Aromatherapy | Retail/Wholesale | Organic Skin Care Distributor | Wholesale Organic Distributor | Biodynamic | ,,20151023,,Erbaviva,1,"Cosmetic And Personal Care Products,Other Body Care Products","With a passion for pure ingredients and their own children as inspiration, Robin Brown and Anna Cirronis created Erbaviva, a beautiful line of authentically organic skincare products for baby, mothers-to-be and everyone else.  The exclusive, handmade collection is Certified USDA Organic and Demeter Biodynamic.
Erbaviva remains ever true to its originating philosophy of authenticity and enduring commitment to people and the environment with its products, manufacturing and global community service.  Erbaviva is a proud financial supporter of The Blink Now Foundation and its invaluable work to sustain and care for the lives of impoverished children in Nepal.  Since the founding of the company, Erbaviva has also been an integral part of an artisan project fund that provides direct financial benefit to the Pwo Karen hill tribe of Northern Thailand and Burma.  All of Erbaviva’s products are compassionately made by hand at the company’s own renewable energy powered facility in Southern California.  A Certified B Corporation, Erbaviva consistently implements and supports sustainable and environmentally responsible principles with every practice and partnership as possible.","
           “We have always taken great pride in the sourcing of our ingredients with integrity, using only organically grown, Biodynamic and wild crafted essential oils and botanicals. ”
           ",www.erbaviva.com
,"Avda. Nueva Tajamar 481, Torre Sur, Piso 9, oficina 905, Las Condes
Santiago,  Chile",,,20151024,,Emiliana Vineyards,A,"Wine,Wine Red","Emiliana Vineyards produces a complete portfolio of organic an biodynamic wines with character, faithful expression of terroir and unique personality. All of Emiliana’s work is aimed at a single concept—excellence—and is guided by its high standards for production and the philosophy of seeking “harmony between the maximum quality of its wines and the respect for the environment.” They have met this enormous challenge by treating the vineyard as a living resource that must be respected and therefore practicing biodynamic, organic, and sustainable agriculture.
More than a decade ago, brothers José and Rafael Guilisasti began the visionary process of converting a traditional Chilean winery into one that was 100% organic with minimal environmental impact through the practice of organic and biodynamic agriculture. Their goal objective was to create wines that would compete in quality with any wine in the world while respecting the cycles of nature. Now, a decade later, what began as a dream has become a complete and varied portfolio of the highest quality wines.
The tremendous quality obtained as the result of the inspiration in the origin of things, in coherence with the planet’s natural rhythms and activities, and its concern for energy efficiency and climate change, have resulted in one of the most complete organic portfolios in the world: Two standouts in their line of wines are Gê, Emiliana´s signature wine (Chile and Latin America´s first certified biodynamic wine), and COYAM, both produced with biodynamic grapes. Not to mention Signos de Origen, Novas and Adobe, all made from organic grapes.
Through all of their painstaking work, Emiliana Vineyards seeks to satisfy the demands of a new global consumer who values that which is pure, natural and made with respect for the environment, and appreciates over all the outstanding quality that only nature can achieve.
Gê
After several decades and various generations working in the Chilean countryside, the Emiliana team wanted to pay tribute to the land by incorporating its presence in the name of a wine that would be produced under the strictest biodynamic management to achieve the maximum perfection. This gave rise to the idea of calling it Gê, from ancient Greek, meaningland or “earth”.
In Gê, the energy of the cosmos, earth, and humankind come together in a unique wine with tremendous personality that faithfully reflects the characteristics and attributes of the terroir from which it comes.
HISTORY
Since its first vintage in 2003 the red blend Gê has been made from the vineyards that have produced Emiliana’s most celebrated red wines year after year: the Syrah, Carmenere, and Cabernet Sauvignon from the Los Robles estate in the
Colchagua Valley.
The different varieties that go into this unique blend are fermented with native (wild) yeasts that vary from year to year, depending on the season’s weather conditions. Gê is always based on Syrah, which represents approximately 50% of the blend. Carmenere is the second most important variety, followed by Cabernet Sauvignon. With its first vintage in 2003, released in 2005, Gê became the first certified biodynamic wine in Chile, and indeed, all of Latin America.
TASTING NOTES:
Plum red with violet tones. The nose reveals itself little by little, starting with fresh notes recalling the countryside where the grapes were grown with notes of rosemary, lavender, and pennyroyal before opening elegantly to offer notes of ripe fruits such as black plums, blueberries, and blackberries along with a touch of spice and dark chocolate, coffee, and black pepper in honor of its time spent in the barrel. The harmonious palate is very fruity and has notes of liqueur. Its good volume and concentration, elegant tannins, and lively acidity, make this a wine with good aging potential.
FOOD PAIRING:
This wine has tremendous personality, character, and longevity. It is ideal with complex dishes such as grilled boar, venison, and wagyu beef with a variety of accompaniments.","
           “Look deep into nature, and then you will understand everything better.”
           ",www.emiliana.bio
,"569 First Street West
Sonoma, CA 95476, United States",,"Fruit,Apples,Apricots,Figs,Grapes For Wine,Lemons,Nectarines,Olives,Peaches,Pears,Persimmon,Plums,Pomegranates,Vegetables,Beetroot,Broccoli,Brussels Sprouts,Cabbage,Carrots,Cauliflower,Chicory Leaf Witloof,Cucumbers,Eggplant,Garlic,Kale,Kohlrabi,Lettuce,Leek,Melons,Onions,Okra,Pepper Capsicum,Potatoes,Pumpkin,Radishes Red,Shallots,Silver Beet,Spinach,Tomatoes,Turnips,Watermelons,Herbs And Spices,Basil,Coriander,Marjoram,Nettle,Oregano,Parsley,Rosemary,Sage,Savory,Tarragon,Thyme,Legumes,Beans,Peas Green,Grains,Sweet Corn,Other Crops,Other Annual Crops",20151024,,Enterprise Vineyards,5,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"300-530 West Broadway
Vancouver, BC V5Z1E9, Canada",,,20151023,,Eminence Organic Skin Care,3,"Cosmetic And Personal Care Products,Body Moisturiser,Facial Cleansers,Facial Moisturiser,Other Cosmetic Products,Other Body Care Products","Éminence Organic Skin Care provides the most effective, natural, organic and Biodynamic® skin care in the industry. An award-winning leader in professional skin care, Éminence is available in 40+ countries worldwide.
As pioneers of the organic skin care movement since 1958, Éminence combines more than 50 years of herbal craftsmanship and innovation with Hungarian inspired healing to offer proven treatments and recipes. Éminence’s superior spa offerings rely on a unique blend of hand-picked fresh ingredients to deliver outstanding results. Éminence is committed to creating products that are kind to the environment and through our Forests for the Future initiative where we plant a tree for every product sold, we have planted over 2 million trees in developing countries.
Voted “Favorite Skin Care Line” by spa professionals with devoted fans such as Madonna, Jessica Biel and Paula Patton, Éminence is renowned for premium organic skin care that enhances your well-being naturally.","
           “Éminence Organic Skin Care products are made with fresh fruit pulps, plants and exotic spices from organic environments making them incredibly nutrient rich and not only the healthiest choice for you, but also the most effective, results oriented collection around. ”
           
         ",www.eminenceorganics.com
,"End County Road 158
Brixey, MO 65618, United States",,"Fruit,Apples,Blackberries,Blueberries,Paw Paw,Strawberries,Vegetables,Broccoli,Cucumbers,Garlic,Kale,Lettuce,Leek,Melons,Pepper Capsicum,Potatoes,Spinach,Tomatoes,Watermelons,Herbs And Spices,Chives,Coriander,Herbs,Parsley,Fodder And Grassland,Fodder Crops,Grassland,Seeds And Seedlings,Seeds,Other Crops,Mushrooms,Other Annual Crops",20150514,,Elixir Farm,E,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"513177 Hwy 95N
Bonners Ferry, ID 83805, United States",Retail/Wholesale | Organic Skin Care Distributor | ,,20160103,,Eco-Beauty® Organics,5,"Baby Cosmetic Products,Baby Oil,Baby Cream,Other Baby Cosmetic,Beauty Spa Products,Bath Additives,Cosmetic And Personal Care Products,After Shave,Body Moisturiser,Facial Cleansers,Facial Moisturiser,Shaving Soap,Other Cosmetic Products,Other Body Care Products","Eco-Beauty  Organics is a retail and wholesale company located in Idaho. We offer an extensive line of skin care, bath and body products in Demeter® certified Biodynamic® quality. Our company is serving an ever-increasing community of holistic-minded and discerning consumer looking for high-quality and truly natural skin care alternatives. Eco-Beauty® Organics is the exclusive distributor for Martina Gebhardt Naturkosmetik in the United States.
Martina Gebhardt Natural Cosmetics is a skin care manufacturing company located in Germany.  For more than 25 years, the company has produced a wide range of natural, organic, and Biodynamic® skin care products available in the finest spas throughout Europe. The award-winning product line is highly valued by skin care professionals for their nurturing quality, efficacy, and gentleness, and is adored by organic skin care lovers all over the world.
Formulated by one of the most experienced developers of authentic natural cosmetics, the product line consists of herbal and aromatherapeutic skin care preparations for women, men and children of all age groups and skin types. The products are well-balanced and skin-friendly formulas that are wholesome to the skin, and enchanting to the senses. They are produced entirely with natural ingredients such as plant oils, butters, herbal extracts, spagyric essences, essential oils, floral waters, wool wax, and beeswax. The products are:
* formulated without the use of mineral oils, synthetic raw materials such as surfactants, synthetic preservatives, colorants, and fragrances
* free of standardized raw materials, genetically modified ingredients, and nano substances
* free of raw materials produced by inhumane animal practices
*gently processed without the use of synthetic additives
* produced following holistic and bio-rhythmic principles
* enhanced with the healing energies of spagyric essences
* packaged in environmentally responsible glass containers
As people experience increasing sensitivities to petroleum derivatives and man-made chemicals, more and more consumers and skin care professionals favor genuine natural skin care products. Martina Gebhardt Naturkosmetik offers this, with unique Biodynamic® quality that is reflected in all of its products.","
           “People are craving a quality of standardization that actually means something.  To achieve Demeter certification is a personally invaluable mark because it stands for a higher and clearer set of standards that are more well enforced.”
           ",www.eco-beauty.com
,"8905 Highway 329
Crestwood, KY 40014, United States",,"Fodder And Grassland,Fodder Crops,Rough Grazing",20151024,,Foxhollow Farm,8,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
75 Acres,"11300 Sonoma Highway
Glen Ellen, CA 95442",Vineyard | ,"Fruit,Grapes For Wine,Olives,Nuts,Hazelnuts,Other Crops,Mushrooms",20151024,,El Nido,1,,"Cropped: 23 Acres
Total Acreage: 75 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"56 Adams Street
Brooklyn, NY 11201",Retail/Wholesale | Biodynamic | Farm | ,,20151023,,Forager's Chelsea LLC.,5,"Pasta,Other Pasta,Wheat Pasta Wholemeal,Bread And Bakery Products,Bakery Products Spelt","Contemporary supermarket, take-out, restaurant and wine store chain based out of New York City, offering hand-selected organic and Biodynamic products in a modern setting. Our affiliate, Foragers Farm in upstate New York, supplies organic produce. We have an growing private label line imported from Italy, including a strong group of Biodynamic farmers in Sicily.","
           “Helping Foragers establish direct relationships with organic and Biodynamic farmers in Sicily has been the highlight of the year!”
           ",foragerscitygrocer.com
,"575 Eighth Avenue Fl 23
New York, NY 10018",,,20151024,,Food Match Inc.,5,Other Plant Products,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"105 Eagle Nest Road
Mount Shasta, CA 96067, United States",,"Fruit,Blackberries,Strawberries,Vegetables,Asparagus,Broccoli,Carrots,Celery,Courgette,Cucumbers,Dandelion,Eggplant,Garlic,Kale,Lettuce,Melons,Potatoes,Radishes Red,Tomatoes,Herbs And Spices,Basil,Calendula,Chamomile,Chilli,Chives,Coriander,Hyssop,Jasmine,Marjoram,Medicinal Herbs,Mint,Nettle,Oregano,Parsley,Rose,Sage,Stevia,Tarragon,Thyme,Valerian,Legumes,Beans,Beans Black,Peas,Grains,Oats,Wheat Spring,Fodder And Grassland,Grassland,Oil Crops,Sunflowers,Other Crops,Flowers,Tobacco,Other Annual Crops",20150514,,Flower of Life Farm,1,"Milk Products And Milk Replacers,Milk Goat",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"11600 Anderson Valley Way
Boonville, CA 95415, United States",,"Fruit,Apples,Blueberries,Figs,Gooseberries,Grapes Table,Grapes For Wine,Olives,Peaches,Plums,Vegetables,Carrots,Tomatoes,Herbs And Spices,Fennel Spice,Nettle,Parsley,Other Crops,Other Annual Crops,Other Permanent Crops",20151024,,Filigreen Farm,1,"Oils And Fats,Olive Oil",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
