address,contact,date,name,phone
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2015-05-20,Graffinga Fruit Company,Phone: (209) 481-0464 or
"37375 Netherlands Rd
Clarksburg, CA 95612",,2015-05-20,Heringer Holland Land & Farming,
"18101 E Stampede Rd.
Lodi, CA 95240",,2015-05-20,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2015-05-20,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2015-05-20,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2015-05-20,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2015-05-20,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2015-05-20,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2015-05-20,Molles Vineyard,Phone: (209) 329-3671
"13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2015-05-20,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2015-05-20,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2015-05-20,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2015-05-20,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2015-05-20,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2015-05-20,S&V Dutra Farms,(209) 369-4558
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2015-05-20,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2015-05-20,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2015-05-20,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2015-05-20,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2015-05-20,Williams Custom Vineyard,(209) 471-4039
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2018-03-05,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2018-03-05,Arbor Vineyards Inc.,209-747-3682
"49762 Hamilton Road
Clarksburg, CA 95612",,2018-03-05,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2018-03-05,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2018-03-05,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2018-03-05,"Duarte Nursery, Inc.",(209) 996-2673
"PO Box 505, Clements, CA 95227",(209) 609-8280,2018-03-05,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2018-03-05,Graffinga Fruit Company,Phone: (209) 481-0464 or
"9010 E. Harney Lane
Lodi, CA 95240",Contact: Kyle Lerner,2018-03-05,Harney Lane Winery & Vineyards,(209) 810-3002
"37375 Netherlands Rd
Clarksburg, CA 95612",grapes@heringerestates.com,2018-03-05,Heringer Estates Family Vineyards & Winery,(916) 744-1094
"18101 E Stampede Rd.
Lodi, CA 95240",,2018-03-05,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2018-03-05,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2018-03-05,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2018-03-05,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2018-03-05,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2018-03-05,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2018-03-05,Molles Vineyard,Phone: (209) 329-3671
"
13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2018-03-05,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2018-03-05,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2018-03-05,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2018-03-05,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2018-03-05,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact:,2018-03-05,S&V Dutra Farms,(209) 210-0255
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2018-03-05,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2018-03-05,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2018-03-05,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2018-03-05,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2018-03-05,Williams Custom Vineyard,(209) 471-4039
"Peltier Winery & Vineyards
22150 N. Kennefick Road, Acampo, CA 95220",Hadyn Schatz,2018-03-05,,(209) 367-4882
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2015-07-19,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2015-07-19,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2015-07-19,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2015-07-19,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2015-07-19,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2015-07-19,"Duarte Nursery, Inc.",(209) 996-2673
"
PO Box 505, Clements, CA 95227",(209) 609-8280,2015-07-19,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2015-07-19,Graffinga Fruit Company,Phone: (209) 481-0464 or
"37375 Netherlands Rd
Clarksburg, CA 95612",,2015-07-19,Heringer Holland Land & Farming,
"18101 E Stampede Rd.
Lodi, CA 95240",,2015-07-19,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2015-07-19,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2015-07-19,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2015-07-19,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2015-07-19,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2015-07-19,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2015-07-19,Molles Vineyard,Phone: (209) 329-3671
"13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2015-07-19,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2015-07-19,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2015-07-19,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2015-07-19,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2015-07-19,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2015-07-19,S&V Dutra Farms,(209) 369-4558
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2015-07-19,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2015-07-19,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2015-07-19,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2015-07-19,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2015-07-19,Williams Custom Vineyard,(209) 471-4039
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2018-05-06,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2018-05-06,Arbor Vineyards Inc.,209-747-3682
"22353 N. Tretheway Road
Acampo, California 95220",,2018-05-06,Acquiesce Vineyards,209-333-6102                                                     Contact: Rodney Tipton
"49762 Hamilton Road
Clarksburg, CA 95612",,2018-05-06,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2018-05-06,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2018-05-06,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2018-05-06,"Duarte Nursery, Inc.",(209) 996-2673
"PO Box 505, Clements, CA 95227",(209) 609-8280,2018-05-06,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2018-05-06,Graffinga Fruit Company,Phone: (209) 481-0464 or
"9010 E. Harney Lane
Lodi, CA 95240",Contact: Kyle Lerner,2018-05-06,Harney Lane Winery & Vineyards,(209) 810-3002
"37375 Netherlands Rd
Clarksburg, CA 95612",grapes@heringerestates.com,2018-05-06,Heringer Estates Family Vineyards & Winery,(916) 744-1094
"18101 E Stampede Rd.
Lodi, CA 95240",,2018-05-06,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2018-05-06,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2018-05-06,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2018-05-06,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2018-05-06,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2018-05-06,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2018-05-06,Molles Vineyard,Phone: (209) 329-3671
"
13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2018-05-06,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2018-05-06,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2018-05-06,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2018-05-06,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2018-05-06,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact:,2018-05-06,S&V Dutra Farms,(209) 210-0255
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2018-05-06,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2018-05-06,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2018-05-06,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2018-05-06,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2018-05-06,Williams Custom Vineyard,(209) 471-4039
"Peltier Winery & Vineyards
22150 N. Kennefick Road, Acampo, CA 95220",Hadyn Schatz,2018-05-06,,(209) 367-4882
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2015-09-15,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2015-09-15,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2015-09-15,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2015-09-15,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2015-09-15,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2015-09-15,"Duarte Nursery, Inc.",(209) 996-2673
"
PO Box 505, Clements, CA 95227",(209) 609-8280,2015-09-15,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2015-09-15,Graffinga Fruit Company,Phone: (209) 481-0464 or
"37375 Netherlands Rd
Clarksburg, CA 95612",,2015-09-15,Heringer Holland Land & Farming,
"18101 E Stampede Rd.
Lodi, CA 95240",,2015-09-15,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2015-09-15,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2015-09-15,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2015-09-15,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2015-09-15,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2015-09-15,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2015-09-15,Molles Vineyard,Phone: (209) 329-3671
"13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2015-09-15,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2015-09-15,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2015-09-15,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2015-09-15,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2015-09-15,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2015-09-15,S&V Dutra Farms,(209) 369-4558
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2015-09-15,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2015-09-15,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2015-09-15,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2015-09-15,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2015-09-15,Williams Custom Vineyard,(209) 471-4039
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2015-11-23,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2015-11-23,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2015-11-23,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2015-11-23,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2015-11-23,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2015-11-23,"Duarte Nursery, Inc.",(209) 996-2673
"
PO Box 505, Clements, CA 95227",(209) 609-8280,2015-11-23,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2015-11-23,Graffinga Fruit Company,Phone: (209) 481-0464 or
"37375 Netherlands Rd
Clarksburg, CA 95612",,2015-11-23,Heringer Holland Land & Farming,
"18101 E Stampede Rd.
Lodi, CA 95240",,2015-11-23,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2015-11-23,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2015-11-23,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2015-11-23,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2015-11-23,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2015-11-23,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2015-11-23,Molles Vineyard,Phone: (209) 329-3671
"13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2015-11-23,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2015-11-23,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2015-11-23,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2015-11-23,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2015-11-23,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2015-11-23,S&V Dutra Farms,(209) 369-4558
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2015-11-23,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2015-11-23,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2015-11-23,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2015-11-23,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2015-11-23,Williams Custom Vineyard,(209) 471-4039
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2018-05-06,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2018-05-06,Arbor Vineyards Inc.,209-747-3682
"22353 N. Tretheway Road
Acampo, California 95220",,2018-05-06,Acquiesce Vineyards,209-333-6102                                                     Contact: Rodney Tipton
"49762 Hamilton Road
Clarksburg, CA 95612",,2018-05-06,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2018-05-06,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2018-05-06,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2018-05-06,"Duarte Nursery, Inc.",(209) 996-2673
"PO Box 505, Clements, CA 95227",(209) 609-8280,2018-05-06,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2018-05-06,Graffinga Fruit Company,Phone: (209) 481-0464 or
"9010 E. Harney Lane
Lodi, CA 95240",Contact: Kyle Lerner,2018-05-06,Harney Lane Winery & Vineyards,(209) 810-3002
"37375 Netherlands Rd
Clarksburg, CA 95612",grapes@heringerestates.com,2018-05-06,Heringer Estates Family Vineyards & Winery,(916) 744-1094
"18101 E Stampede Rd.
Lodi, CA 95240",,2018-05-06,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2018-05-06,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2018-05-06,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2018-05-06,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2018-05-06,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2018-05-06,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2018-05-06,Molles Vineyard,Phone: (209) 329-3671
"
13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2018-05-06,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2018-05-06,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2018-05-06,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2018-05-06,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2018-05-06,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact:,2018-05-06,S&V Dutra Farms,(209) 210-0255
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2018-05-06,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2018-05-06,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2018-05-06,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2018-05-06,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2018-05-06,Williams Custom Vineyard,(209) 471-4039
"Peltier Winery & Vineyards
22150 N. Kennefick Road, Acampo, CA 95220",Hadyn Schatz,2018-05-06,,(209) 367-4882
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2016-03-20,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2016-03-20,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2016-03-20,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2016-03-20,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2016-03-20,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2016-03-20,"Duarte Nursery, Inc.",(209) 996-2673
"
PO Box 505, Clements, CA 95227",(209) 609-8280,2016-03-20,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2016-03-20,Graffinga Fruit Company,Phone: (209) 481-0464 or
"37375 Netherlands Rd
Clarksburg, CA 95612",,2016-03-20,Heringer Holland Land & Farming,
"18101 E Stampede Rd.
Lodi, CA 95240",,2016-03-20,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2016-03-20,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2016-03-20,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2016-03-20,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2016-03-20,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2016-03-20,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2016-03-20,Molles Vineyard,Phone: (209) 329-3671
"13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2016-03-20,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2016-03-20,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2016-03-20,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2016-03-20,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2016-03-20,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2016-03-20,S&V Dutra Farms,(209) 369-4558
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2016-03-20,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2016-03-20,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2016-03-20,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2016-03-20,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2016-03-20,Williams Custom Vineyard,(209) 471-4039
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2016-04-23,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2016-04-23,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2016-04-23,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2016-04-23,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2016-04-23,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2016-04-23,"Duarte Nursery, Inc.",(209) 996-2673
